Company LinkedIn,legal_name,company_name,domain,Employee Count,Size,hq_location
https://www.linkedin.com/company/john-masters-organics/,John Masters Organics,John Masters Organics,http://www.johnmasters.com,17,51-200 employees,"San Francisco, California"
https://www.linkedin.com/company/dynavap/,DynaVap,DynaVap,http://www.dynavap.com,27,11-50 employees,"De Forest, Wisconsin"
https://www.linkedin.com/company/plexicam/,PlexiCam,PlexiCam,https://www.plexicam.com/,3,2-10 employees,"North Andover, Massachusetts"
https://www.linkedin.com/company/loungefly/,Loungefly,Loungefly,http://www.loungefly.com,42,51-200 employees,
https://www.linkedin.com/company/five-the-label/,Five The Label / Five Dancewear,Five The Label / Five Dancewear,https://fivethelabel.com/,12,11-50 employees,"Bountiful, Utah"
https://www.linkedin.com/company/fatco-/,FATCO,FATCO,http://www.FATCO.com,9,2-10 employees,"Stateline, NV"
https://www.linkedin.com/company/three-nails/,Three Nails,Three Nails,https://threenails.com/,40,2-10 employees,"Plymouth, Minnesota"
https://www.linkedin.com/company/yellow-the-label/,Yellow The Label,Yellow The Label,http://yllwthelabel.com,11,11-50 employees,"Tampa, FL"
https://www.linkedin.com/company/shredlights/,ShredLights,ShredLights,http://www.shredlights.com,6,2-10 employees,
https://www.linkedin.com/company/slate-dental/,Slate Flosser,Slate Flosser,http://www.slateflosser.com,7,2-10 employees,"Spokane, Washington"
https://www.linkedin.com/company/novel-creations-usa-inc/,"Novel Creations USA, Inc.","Novel Creations USA, Inc.",https://www.nusensuelle.com,1,2-10 employees,
https://www.linkedin.com/company/ka-empathogenics/,KA! Empathogenics,KA! Empathogenics,https://kaempathogenics.com/,3,2-10 employees,"Longmont, CO"
https://www.linkedin.com/company/fmw-fasteners/,FMW Fasteners,FMW Fasteners,http://www.fmwfasteners.com,4,2-10 employees,"Houston, Texas"
https://www.linkedin.com/company/gooddyeyoung/,Good Dye Young,Good Dye Young,http://gooddyeyoung.com,17,11-50 employees,"Nashville, TN"
https://www.linkedin.com/company/luxeautoconcepts/,Luxe Auto Concepts,Luxe Auto Concepts,http://www.luxeautoconcepts.net,5,11-50 employees,"Shreveport, Louisiana"
https://www.linkedin.com/company/thereadingleague/,The Reading League,The Reading League,https://www.thereadingleague.org/,79,11-50 employees,"Syracuse, NY"
https://www.linkedin.com/company/tackform/,Tackform,Tackform,http://www.tackform.com,8,11-50 employees,"Addison, IL"
