"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ModeSens","Outsmart online shopping with the world’s most intelligent purchasing tool. We make shopping smarter with everything you need to seamlessly find, compare, and save on top brands across 800+ stores—all in one place. Our mission is to help every consumer save time and money on every purchase. Find the best price on designer women’s, men’s, and kids’ clothing, shoes and accessories, home furnishings, and technology. ModeSens is a one-stop shopping destination for over 40K brands where you can easily search any product URL, barcode, or image to find exactly what they’re looking for, and then compare prices across hundreds of vetted stores —Farfetch, Net-a-Porter, Nordstrom, Shopbop, Louis Vuitton, Gucci, Fendi, Dior, Balenciaga, Burberry, and more—to make the right choice for their wallet. When it’s time to check out, check ModeSens.","Retail Apparel and Fashion","11-50 employees","Privately Held","Dallas, Texas","United States","modesens.com","https://www.linkedin.com/company/modesens"
,"Rebecca Minkoff","Rebecca Minkoff is a global lifestyle destination founded on classic design with an element of the unexpected. Rebecca’s brand personifies her downtown romantic sensibility and bohemian rocker style. Her designs have become a must-have for celebrities, fashion influencers, and women making their mark on the world.

Born in California and raised in Florida, Rebecca moved to New York at 18, where she first gained attention with a handmade version of the iconic “I Love New York” shirt which became an overnight sensation.

Rebecca and her brother Uri Minkoff co-founded her eponymous label in 2005 with the now-iconic “Morning After Bag”. With Uri as CEO and Rebecca as Creative Director, in 2009 they launched the brand’s first ready to wear collection. They added footwear in 2011 and jewelry in 2012.

Today, Rebecca Minkoff is an industry leader in ready-to-wear, handbags, accessories and footwear and is distributed in over 900 stores worldwide, with innovative tech-forward boutiques in New York and San Francisco and international outposts in Hong Kong, Tokyo, and Seoul. In 2015, the brand will open stores in Los Angeles and Chicago. Together, Rebecca and Uri have created the largest global fashion label helmed by a millennial female.

In her early thirties, Rebecca has become a role model for a rising generation of millennial female entrepreneurs around the world. In 2011, Rebecca was awarded the Breakthrough Designer Award from the Accessories Counsel. She is a frequent speaker on television and at public events, sharing the stage with Hillary Clinton, Ban ki-Moon, Patricia Arquette and others to discuss economic empowerment through entrepreneurship at the United Nations in 2015. Rebecca was recently named the Global Color Designer for Essie (a L’Oreal Subsidiary), and in 2015 also announced a strategic partnership with Intel to create new opportunities for women in tech. Rebecca Minkoff is regularly acknowledged as one of the world’s most innovative companies.","Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","rebeccaminkoff.com","https://www.linkedin.com/company/rebecca-minkoff"
,"Fear of God",,"Apparel and Fashion","11-50 employees",,"Los Angeles, California","United States","fearofgod.com","https://www.linkedin.com/company/fear-of-god"
,"THE/STUDIO","Our vision is to create the world’s largest, most customer-centric digital factory, empowering creators to effortlessly bring their products to life. We are realizing this vision by building a marketplace that connects the world’s leading brands with top-tier manufacturers.

Our innovative software streamlines the manufacturing process, ensuring success for both customers and factories. Our team’s deep product knowledge simplifies online manufacturing, guiding customers through every step with ease.

Every day, we strive to inspire and educate our customers about the transformative power of custom manufacturing and design. Join us in revolutionizing the way products are made and brought to market.","Apparel and Fashion","11-50 employees","Privately Held","Pasadena, California","United States","thestudio.com","https://www.linkedin.com/company/thestudio-com"
,"Retrofête","Taking its name from a fusion of synonyms for “vintage” and “party,” Retrofête celebrates the glamour and opulence of decades past. Retrofête is for the woman who demands to be noticed; she’s confident, seductive, vivacious and sophisticated - she doesn’t attend the party, she IS the party. Each silhouette in Retrofête is inspired by a cut, fabric, color or essence of something special from within Creative Director, Ohad Seroya’s vintage collection, including items he’s inherited from his mother’s closet from the 80’s and 90’s.","Retail Apparel and Fashion","11-50 employees","Public Company","New York, New York","United States","retrofete.com","https://www.linkedin.com/company/welcometotheparty"
,"SET ACTIVE","At SET, we blur the line between form and function, because we believe that no one should ever have to choose. Whether you’re going to the gym, going out, or you’re just a go getter — you can think of us as your everyday activewear, elevated. 
 
We’re a community first and a brand second. Connected by our love for all things active, we live to create what you want, because we’re at our best when you feel yours. 
 
Carefully crafted using our proprietary fabrics, SCULPTFLEX and LUXFORM, our activewear is equal parts comfort and compression, giving you the ultimate support and superior confidence for an active lifestyle. In addition to our activewear, we have a range of unisex SET sweats. Color-coordinated and as chic as they are cozy, they’re the perfect counterpart to mix and match. 
 
Always available in our core color Onyx, we also release select limited edition colorways that are curated thoughtfully to serve as your effortless, everyday staples. Style our activewear together, mix it up with our sweats, or create a look that’s uniquely you. From day to night, you’re SET.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","setactive.co","https://www.linkedin.com/company/set-active"
,"Ivanka Trump","The Ivanka Trump Collection is a multi-faceted lifestyle brand.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York","United States","ivankatrump.com","https://www.linkedin.com/company/ivanka-trump-fine-jewelry"
,"Frankies Bikinis","Frankies Bikinis is a female-led lifestyle brand recognized for its on-trend designs, innovative fabrics, and inclusive styles for people of all sizes to feel confident and beautiful. Founded by mother-daughter duo Mimi and Francesca Aiello in their Malibu home in 2012, the brand has since grown into an internationally recognized company. Their journey has included collaborations with iconic women such as Pamela Anderson, Sydney Sweeney, Gigi Hadid, Naomi Osaka, Hailee Steinfeld, and Sofia Richie.

From swimwear to ready-to-wear clothing, knits, and activewear, Francesca has expanded Frankies Bikinis' offerings to include a wide range of ultra-flattering, feminine styles. You can find our designs in retail stores nationwide, including Victoria’s Secret, Revolve, SSENSE, Free People, Kith, and Bloomingdale's.

A MESSAGE FROM FOUNDER FRANCESCA AIELLO:
""From the start of Frankies Bikinis 12 years ago, my goal has always been to create swimwear that inspires women to feel their most confident. I am so grateful for the trust that our Frankies Girls have instilled in me, allowing me to deliver designs that push the boundaries of this industry. Together, we'll continue to pave the way for free-thinking and innovation in clothing and swim.""","Retail Apparel and Fashion","11-50 employees","Privately Held","Venice, California","United States","frankiesbikinis.com","https://www.linkedin.com/company/frankies-bikinis-llc"
,"RE/DONE","Iconic. Sustainable. Individual.

Launched in July 2014 by Sean Barron and Jamie Mazur, RE/DONE has become known for reconstructing Levi’s vintage jeans into modern fits, giving a sense of uniqueness and rareness to each consumer. RE/DONE | Levi’s jeans are a celebration of the Levi’s jean’s past and a continuation of the jean’s individual story. RE/DONE  is a movement to restore individuality to the luxury fashion space, a movement to keep heritage brands relevant, and a movement to create sustainable fashion. It is the first luxury label that was born online and grown as an e-commerce brand, available at www.shopredone.com as well as select retail touch-points around the globe.","Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","shopredone.com","https://www.linkedin.com/company/re-dun"
,"Evelyn & Bobbie","Evelyn & Bobbie is a women-led intimate apparel company dedicated to creating beautiful and functional products for real life. Launched in 2017 by Founder & CEO Bree McKeen and her team of engineers and designers, Evelyn & Bobbie creates beautiful, functional, and premium products that empower women to stand tall and lead from the heart.","Retail Apparel and Fashion","11-50 employees","Privately Held","Portland, OR","United States","evelynbobbie.com","https://www.linkedin.com/company/evelyn-&-bobbie"
,"Fleur du Mal","Fleur du Mal is a luxury lingerie, ready-to-wear, and swim brand founded by Jennifer Zuccarini in 2012. Its name, derived from the title of a collection of poems by Charles Baudelaire, speaks to the unique duality of its spirit: beautiful, elegant garments with a playful, mischievous side as well, allowing women to explore the full spectrum of their sexuality in every moment of their lives. 

Fleur du Mal takes a fashion approach to lingerie and applies a lingerie language to fashion. Its products are delicate and sophisticated, using luxury fabrics like French Leavers lace and bespoke embroideries crafted by world-class artisans.

Inspiring dressing up and undressing, the collection is available online at fleurdumal.com,  as well as at their retail stores in New York at 175 Mott Street, in Los Angeles at 519 N Almont Drive, and with top department stores and specialty retailers around the world. 

www.fleurdumal.com

Follow us @fleurdumalnyc","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","fleurdumal.com","https://www.linkedin.com/company/fleur-du-mal"
