"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Sirrus Inc., a wholly owned operating subsidiary of Nippon Shokubai Co., Ltd.","✅ Sirrus Inc., a wholly owned operating subsidiary of Nippon Shokubai Co.","Sirrus Inc., a wholly owned operating subsidiary of Nippon Shokubai Co.",,"Chemical Manufacturing","11-50 employees",,"Loveland, Ohio","United States",,"https://www.linkedin.com/company/sirrus-inc.-a-wholly-owned-operating-subsidiary-of-nippon-shokubai-co.-ltd.",,,,,
,"Betz Water Management Group","✅ Betz Water Management","Betz Water Management",,"Chemical Manufacturing","11-50 employees",,"Beaverton, OR","United States",,"https://www.linkedin.com/company/betz-water-management-group",,,,,
,"International Sulphur Inc","✅ International Sulphur","International Sulphur",,"Chemical Manufacturing","11-50 employees",,"Valdosta, Georgia","United States","internationalsulphur.com","https://www.linkedin.com/company/international-sulphur-inc",,,,,
,"DKM Global Resources Inc","✅ DKM Global Resources","DKM Global Resources","Current Business:  Chemicals and Food Ingredients - Manufacturing and Distribution
                                    Industrial, Commodity and Food

Currently looking for small to medium size businesses for sale.  
Type of Business Preference-
General-Manufacturing
General-Distribution(B2B)
Food Grade Chemicals-Manufacturing/Distribution
Agricultural Chemicals-Manufacturing/Distribution","Chemical Manufacturing","11-50 employees","Privately Held","Schaumburg, IL","United States","dkmglobal.com","https://www.linkedin.com/company/dkm-global-resources-inc",,,,,
,"All Plastics And Fiberglass, Inc.","✅ All Plastics And Fiberglass","All Plastics And Fiberglass",,"Chemical Manufacturing","51-200 employees",,"Mobile, Alabama","United States","allplastics-fiberglass.com","https://www.linkedin.com/company/all-plastics-and-fiberglass-inc.",,,,,
,"American Adhesives","✅ American Adhesives","American Adhesives","Americas Finest Cake GlueGreen AdhesivesVirginia.","Chemical Manufacturing","11-50 employees",,"Waynesboro, Virginia","United States",,"https://www.linkedin.com/company/american-adhesives",,,,,
,"KRAUSE GROVE SERVICE INC","✅ KRAUSE GROVE SERVICE","KRAUSE GROVE SERVICE",,"Chemical Manufacturing","11-50 employees",,"WAUCHULA, Florida","United States","krausegroveservice.com","https://www.linkedin.com/company/krause-grove-service-inc",,,,,
,"Suburban Plastics Company, Inc.","✅ Suburban Plastics Company","Suburban Plastics Company",,"Chemical Manufacturing","51-200 employees",,"Elgin, Illinois","United States","suburbanplastics.com","https://www.linkedin.com/company/suburban-plastics-company-inc.",,,,,
,"Regal Auto Wash","✅ Regal Auto Wash","Regal Auto Wash","Whether you come to Regal Auto Wash, and Detail for an economical exterior car wash or a complete detail to regain a car’s likenew appearance, we offer the perfect service at the best price in town.","Chemical Manufacturing","11-50 employees",,"Birmingham, Alabama","United States","regalautowash.com","https://www.linkedin.com/company/regal-auto-wash",,,,,
,"Ferguson Industrial Gases","✅ Ferguson Industrial Gases","Ferguson Industrial Gases",,"Chemical Manufacturing","11-50 employees",,"Mc Kinney, Texas","United States","fergusongases.com","https://www.linkedin.com/company/ferguson-industrial-gases",,,,,
,"Aptek Laboratories","✅ Aptek Laboratories","Aptek Laboratories","Aptek Laboratories, Inc. is a designer and manufacturer of custom-formulated adhesives, coatings, encapsulants, and specialty formulated films/substrates for the Aerospace, Military, RF/Microwave, and Microelectronics/Optoelectronics industries.","Chemical Manufacturing","11-50 employees",,"Valencia, California","United States","apteklabs.com","https://www.linkedin.com/company/aptek-laboratories",,,,,
,"Aerogel Composite, Inc.","✅ Aerogel Composite","Aerogel Composite",,"Chemical Manufacturing","11-50 employees",,"Bloomfield, Connecticut","United States",,"https://www.linkedin.com/company/aerogel-composite-inc.",,,,,
,"Houston Bed Bug Expert - Heat Pest Services LLC","✅ Houston Bed Bug Expert","Houston Bed Bug Expert","We are the best bed bug extermination professionals in the Houston area. We offer the fastest and most effective treatment with the longest warranty. Get rid of all bed bugs with one treatment – Contact us today for a FREE estimate!","Chemical Manufacturing","11-50 employees","Self Owned","Houston, TX","United States","bedbugtreatmenthouston.com","https://www.linkedin.com/company/houston-bed-bug-expert---heat-pest-services-llc",,,,,
,"The Dycho Company, Inc.","✅ The Dycho Company","The Dycho Company",,"Chemical Manufacturing","11-50 employees",,"Niota, Tennessee","United States","dycho.com","https://www.linkedin.com/company/the-dycho-company-inc.",,,,,
