Name,UrlRV,URLYeti,Total Customs Clearances,Total Shipments,Customs Broker,Trade Data, Port Type
"ZESTRON Americas","https://app.revenuevessel.com/dashboard/importers/30ef7717-86f3-4cda-919f-76979ec76b35",6,8,"ELM CUSTOMS BROKERAGE, INC.-6","Belgium-6, South Korea-2", "Ocean-6"
"Synsus Private Label Partners","https://app.revenuevessel.com/dashboard/importers/2d995642-d34c-4f28-9af9-d69eb526b23a",,41,"","China-33, Spain-4, South Korea-4", ""
"Summit Refrigerants","",,,"","", ""
"AIChE Catalysis & Reaction Engineering Division","",,,"","", ""
"Guide Energy Solutions","",,,"","", ""
"QualiChem Metalworking","https://app.revenuevessel.com/dashboard/importers/d1e94542-f619-4cb4-ba75-353eaca7e2cb",21,59,"SCHENKER, INC.-14, FEDEX TRADE NETWORKS TRANS. & BROKE-7","Belgium-62, Netherlands-2", "Ocean-9, Cross Border-7, Air-5"
"TSG Consulting","",,,"","", ""
"Kroff","https://app.revenuevessel.com/dashboard/importers/496aee31-8ecf-49ee-b3c8-969dbea9c701",1,4,"AFC INTERNATIONAL, LLC-1","China-4", "Rail-1"
"Salvona","https://app.revenuevessel.com/dashboard/importers/5cc7c8d2-d6e0-45b7-b947-99206a32cc0f",32,30,"T H WEISS INC-31, DHL EXPRESS (USA) INC.-1","Germany-13, South Korea-13, China-11", "Ambiguous-22, Air-9, Parcel-1"
"Essential Ingredients","https://app.revenuevessel.com/dashboard/importers/aa21320f-a2e7-4f51-a3fe-01bd1b7d3cf2",35,48,"C.H. ROBINSON INTERNATIONAL, INC.-23, SPRINT GLOBAL INC-7, EUGENIO F RICCI-5","France-19, Italy-12, India-9", "Ocean-14, Air-9, Cross Border-7, Ambiguous-5"
"Carus","https://app.revenuevessel.com/dashboard/importers/69de1fcd-5479-4982-821f-7ea8b0350f2d",71,,"LISA RAGAN CUSTOMS BROKERAGE INC.-63, K & G CUSTOMS SERVICE, INC.-7, GEORGE W RUEFF INC-1","", "Ocean-68, Ambiguous-3"
"MÜNZING","https://app.revenuevessel.com/dashboard/importers/4b0d4ccd-349c-4146-9085-fa1f3d9206c3",104,258,"SCHENKER, INC.-104","Germany-119, India-42, Belgium-32", "Ocean-86, Air-14, Ambiguous-4"
"CREMER North America, LP","",,,"","", ""
"Advanced Biotech","https://app.revenuevessel.com/dashboard/importers/54ce794c-148e-43c9-8ee5-4d187d940d8f",492,85,"MARA SHIPPING INC-384, J.G. EBERLEIN & CO., INC.-101, DHL EXPRESS (USA) INC.-5","India-168, Malaysia-15, South Korea-15", "Ambiguous-250, Air-131, Ocean-101, Cross Border-5, Parcel-5"
"Jowat","https://app.revenuevessel.com/dashboard/importers/4c571b3e-68a7-4e41-b3f0-40cd7e2fc29e",147,537,"A N DERINGER, INC.-50, DACHSER USA AIR & SEA LOGISTICS INC-38, STAR ASIA CUSTOMS, TRADE & SECURITY-29","Belgium-145, Germany-98, Taiwan-80", "Ocean-119, Air-19, Cross Border-8, Rail-1"
"Lion Elastomers","https://app.revenuevessel.com/dashboard/importers/1251b4c6-5d67-459a-94ff-d462a2457f0f",6,2,"ODYSSEY INTERNATIONAL SERVICES, INC-6","India-2", "Ocean-6"
"Koch-Chemie USA","",,,"","", ""
"Garratt-Callahan","",,,"","", ""
"ABITEC","https://app.revenuevessel.com/dashboard/importers/e3af5919-a7d7-4b13-a9f4-c59fc67815d7",11,55,"CAMELOT CO.-11","Singapore-25, China-22, Brazil-6", "Ambiguous-9, Cross Border-2"
"MicroCare","https://app.revenuevessel.com/dashboard/importers/4d7c78c1-fbcd-4eb9-9298-372a56dc2ab9",26,8,"UPS SUPPLY CHAIN SOLUTION-15, WATCHPOINT LOGISTICS, INC.-7, CHARLES M SCHAYER & CO-4","Japan-6, South Korea-2", "Parcel-15, Ambiguous-8, Ocean-3"
"Independent Welding Distributors Cooperative","https://app.revenuevessel.com/dashboard/importers/0d2d91a0-a454-4332-9fee-2128504ad76a",12,16,"AFC INTERNATIONAL, LLC-12","China-13, South Korea-3", "Ocean-12"
"gChem","",,,"","", ""
"Control Solutions","https://app.revenuevessel.com/dashboard/importers/7098a7de-c5cc-404a-a3d0-be858495e6bf",112,407,"DONALD J HOFFMAN-107, JORI LOGISTICS, LLC-5","China-251, India-33, Spain-25", "Ocean-103, Air-9"
"Lab Alley","",,,"","", ""
"P2 Science","",,,"","", ""
"Dallas Group of America","https://app.revenuevessel.com/dashboard/importers/340e75e1-9cc3-4faa-aebd-b0c704c82236",37,34,"CARGO SERVICES, INC.-37","China-34, Taiwan-2", "Ambiguous-34, Air-3"
"AI Technology","https://app.revenuevessel.com/dashboard/importers/65626d14-fe22-4772-b3ed-7d1561a58eb3",76,10,"UPS SUPPLY CHAIN SOLUTION-48, NISSIN INTERNATIONAL TRANSPORT USA,-28","Japan-12", "Parcel-48, Ambiguous-22, Ocean-4, Air-2"
"Corrosion Innovations","",,,"","", ""
"Ungerer &","https://app.revenuevessel.com/dashboard/importers/4e994a0b-78a0-4b27-aa86-fdfceb71d288",145,114,"J.M. RODGERS CO., INC.-72, GARAL BROKERAGE INC-49, J.O. ALVAREZ, INC.-24","China-65, India-15, South Korea-9", "Cross Border-73, Ambiguous-54, Air-15, Ocean-2, Parcel-1"
"CrudeChem Technology","",,,"","", ""
"Jost Chemical","https://app.revenuevessel.com/dashboard/importers/3f3c7852-547c-4d40-b4fc-e87846d656dc",41,58,"W N EPSTEIN & CO INC-26, EXPEDITORS INTERNATIONAL-13, FEDEX TRADE NETWORKS TRANS. & BROKE-1","Israel-40, Germany-18", "Rail-37, Ambiguous-3, Ocean-1"
"Lawter","https://app.revenuevessel.com/dashboard/importers/1292acfa-501b-404c-bab5-03815ad7a81c",136,435,"JOHN S JAMES CO-136","Belgium-127, China-75, Turkey-44", "Ocean-130, Ambiguous-3, Air-3"
"Atticus","https://app.revenuevessel.com/dashboard/importers/872ad2e1-faac-4e8f-863f-3dcbfaa51d86",2,6,"CLEARPATH TRADE SOLUTIONS, LLC-2","India-4, Singapore-2", "Cross Border-2"
"TSE Industries","https://app.revenuevessel.com/dashboard/importers/87d5e3ac-c147-4351-b763-9827eea3bbfe",9,2,"NNR GLOBAL LOGISTICS USA INC-9","South Korea-2", "Ocean-8, Cross Border-1"
"FQE Chemicals","",,,"","", ""
"Global Tungsten & Powders","https://app.revenuevessel.com/dashboard/importers/eef0aa84-a5d7-4c3c-ba54-e4ffc9a363c4",385,697,"BDP INTERNATIONAL-220, UPS SUPPLY CHAIN SOLUTION-136, KUEHNE & NAGEL INC-15","Germany-608, Belgium-47, Mexico-27", "Ambiguous-165, Parcel-136, Air-45, Ocean-30, Cross Border-9"
"Barclay Water Management","",,,"","", ""
"Ravago Chemicals North America","",,,"","", ""
"INEOS Pigments USA","https://app.revenuevessel.com/dashboard/importers/9c348125-0331-427c-bfe9-b3b3a24b0cc4",2200,150,"LIVINGSTON INTERNATIONAL INC.-2200","Oman-53, Belgium-27, Spain-20", "Cross Border-1825, Ambiguous-180, Ocean-175, Rail-16, Air-4"
"Royal Chemical","https://app.revenuevessel.com/dashboard/importers/0d2dee07-0e54-42da-8afc-bb579fb543a8",3,7,"C.H. ROBINSON INTERNATIONAL, INC.-3","Portugal-4, India-3", "Cross Border-3"
"Sterilex","",,,"","", ""
"Perimeter Solutions","",,,"","", ""
"WestAir Gases & Equipment","https://app.revenuevessel.com/dashboard/importers/69c92ec8-ffc9-4561-a74a-799e4caab5d4",4,2,"AIT TAHIPO LLC-3, INT'L TRADE & CUSTOMS SPECIALIST-1","American Samoa-5", "Air-3, Cross Border-1"
"Mstack Chemicals","",,,"","", ""
"Franklin International","https://app.revenuevessel.com/dashboard/importers/0aec7aa1-e027-4234-ad38-e55f7ba319e6",9,120,"LIVINGSTON INTERNATIONAL INC.-8, KUEHNE & NAGEL INC-1","China-107, Panama-11, Singapore-3", "Cross Border-8, Air-1"
"Rhein Chemie","",,,"","", ""
"Organic Dyes and Pigments","https://app.revenuevessel.com/dashboard/importers/5b65409a-2197-49fa-9453-fea8e3782a95",66,,"JF MORAN CO INC-66","", "Ocean-51, Air-15"
"Integrity BioChem","",,,"","", ""
"Dura Chemicals","https://app.revenuevessel.com/dashboard/importers/4eaec6f1-a684-446d-b6c4-7b7045b1e041",181,266,"DSV AIR & SEA, INC.-181","Spain-214, China-28, India-12", "Ambiguous-166, Rail-13, Air-2"
"ASI Standards","",,,"","", ""
"APTech Group","https://app.revenuevessel.com/dashboard/importers/fb45c54a-0bed-409a-81f3-5eb6cb67f4fe",1,,"FEDEX TRADE NETWORKS TRANS. & BROKE-1","", "Cross Border-1"
"Nitto Americas","",,,"","", ""
"EPS","",,,"","", ""
"Shrieve","https://app.revenuevessel.com/dashboard/importers/22a75b17-502e-4ef2-afda-22611acdddef",475,151,"BDP INTERNATIONAL-402, RADEL DIAZ-71, DSV AIR & SEA, INC.-2","South Korea-90, China-54, India-14", "Ocean-356, Air-48, Ambiguous-37, Rail-24, Cross Border-10"
"ITW Permatex","",,,"","", ""
"Plating International","",,,"","", ""
"Alto Ingredients","https://app.revenuevessel.com/dashboard/importers/cd778d28-d258-4407-962c-fabf26710f9e",38,32,"LILLIAN MAE-PAYNTER SOZA-19, FT. MYERS INTL. FORWARDING, INC.-12, RENATE H. OMANIA-6","Colombia-20, Netherlands-7, Italy-7", "Rail-14, Cross Border-13, Ocean-8, Air-3"
"Numat","",,,"","", ""
"OnScent","https://app.revenuevessel.com/dashboard/importers/d096820f-c8ab-430b-9086-9aceaa9f6fdd",36,1021,"HARRY F. LONG, INC.-28, DHL EXPRESS (USA) INC.-6, INTERPORT LOGISTICS, LLC-2","China-986, South Korea-14, United Kingdom-12", "Ambiguous-19, Air-9, Parcel-6, Ocean-2"
"Wiley Companies","https://app.revenuevessel.com/dashboard/importers/5568cff9-ecbc-4e64-a60c-2659184815f3",9,,"PROFREIGHT BROKERS INC-8, DHL EXPRESS (USA) INC.-1","", "Ocean-4, Ambiguous-3, Air-1, Parcel-1"
"Chemline","https://app.revenuevessel.com/dashboard/importers/6db67197-a10b-4171-ac28-582df13b5dd0",,,"","", ""
"SCAM SPA","",,,"","", ""
